,item,sentence,zone,RT,word,nItem,meanItemRT,sdItemRT,gmeanItemRT,gsdItemRT,surprisal,all_entropy,prev_surprisal,prev_all_entropy,w_len,prev_w_len,log_freq,prev_log_freq,loc
97,1,3,98,214,stately,86,393.6976744,226.1968466,349.7274134,1.593668778,,,,,,,,,
98,1,3,99,202,City,86,385.627907,181.2764575,353.4199254,1.496064043,11.545560836791992,2.39868173513093,,,4,,18.626738928073074,,41
99,1,3,100,203,"Hall,",87,395.3908046,244.1193168,356.039144,1.534271569,,,,,,,,,
100,1,3,101,191,you,87,334.3678161,153.2180476,311.7824854,1.422593579,0.964215874671936,2.7074924808602585,,,3,,20.879301241848736,,43
101,1,3,102,214,would,87,327.7931034,124.4194087,308.514729,1.407736346,0.9255867004394531,2.6968208557132294,0.964215874671936,2.7074924808602585,5,3,20.417290085523085,20.879301241848736,44
102,1,3,103,236,see,86,333.4418605,124.3371701,313.7573731,1.412501478,2.776664972305298,3.0305689211533884,0.9255867004394531,2.6968208557132294,3,5,19.86346470238762,20.417290085523085,45
103,1,3,104,214,there,86,341.1162791,144.210746,317.5148004,1.445305892,6.3057098388671875,2.8186210341240088,2.776664972305298,3.0305689211533884,5,3,20.51482393853187,19.86346470238762,46
104,1,3,105,225,the,87,391.2298851,187.9107099,352.9889011,1.565540826,7.583975791931152,3.0471151173903412,6.3057098388671875,2.8186210341240088,3,5,24.00224221782431,20.51482393853187,47
105,1,3,106,191,Crest,86,381.244186,158.6015307,352.8712176,1.482818979,16.528587341308594,2.214687493407974,7.583975791931152,3.0471151173903412,5,3,15.033309045542754,24.00224221782431,48
106,1,3,107,203,of,83,333.6385542,120.3385041,314.3940474,1.411123938,2.7266108989715576,2.3051048896981223,16.528587341308594,2.214687493407974,2,5,23.463006516878895,15.033309045542754,49
107,1,3,108,202,the,84,341.7142857,131.5639541,320.2754636,1.431210014,3.4859375953674316,2.5471306786258174,2.7266108989715576,2.3051048896981223,3,2,24.00224221782431,23.463006516878895,50
108,1,3,109,192,City,86,353.9534884,137.8874995,331.4677718,1.43411256,5.747691631317139,2.8312668251874924,3.4859375953674316,2.5471306786258174,4,3,18.626738928073074,24.00224221782431,51
109,1,3,110,202,of,85,357.9176471,190.856167,325.1412507,1.511942449,4.4815192222595215,2.6454793762267386,5.747691631317139,2.8312668251874924,2,4,23.463006516878895,18.626738928073074,52
110,1,3,111,203,"Bradford,",85,387.5882353,157.6450424,358.0785937,1.495058803,,,,,,,,,
111,1,3,112,213,which,85,374.1529412,184.6164303,340.7140423,1.517513714,2.6759283542633057,3.1189585707431178,,,5,,21.174411098467544,,54
112,1,3,113,203,those,85,356.6352941,159.4252958,328.9351811,1.481485349,14.476143836975098,3.1604676739830326,2.6759283542633057,3.1189585707431178,5,5,19.66146917152014,21.174411098467544,55
113,1,3,114,202,same,87,394.091954,173.3498702,362.7260713,1.493955243,8.565714836120605,2.9171123332855267,14.476143836975098,3.1604676739830326,4,5,19.559358853313352,19.66146917152014,56
114,1,3,115,192,mill,86,350.5,123.7130218,332.541064,1.377859526,2.340156078338623,2.8263595131383275,8.565714836120605,2.9171123332855267,4,4,16.35165904664935,19.559358853313352,57
115,1,3,116,202,owners,86,380.0581395,154.0453222,355.1868209,1.438344984,0.1512468010187149,3.1529214094967832,2.340156078338623,2.8263595131383275,6,4,16.380170181149197,16.35165904664935,58
116,1,3,117,203,created,86,360.8372093,130.0572598,340.1829924,1.408684371,10.071682929992676,2.978820774521205,0.1512468010187149,3.1529214094967832,7,6,17.51386230789876,16.380170181149197,59
117,1,3,118,191,to,85,371.5294118,160.161272,346.1941285,1.438509811,4.225495338439941,2.9054084989925113,10.071682929992676,2.978820774521205,2,7,22.992670780646666,17.51386230789876,60
118,1,3,119,191,celebrate,85,342.9529412,131.6126085,322.2641369,1.416830744,5.518496036529541,3.0749470640091383,4.225495338439941,2.9054084989925113,9,2,14.98472264853702,22.992670780646666,61
119,1,3,120,203,their,84,400.2619048,307.7711213,342.5846383,1.636759747,1.6120012998580933,2.9674618488779703,5.518496036529541,3.0749470640091383,5,9,20.79697011298296,14.98472264853702,62
120,1,3,121,202,achievements.,86,419.1860465,217.1497457,378.4558284,1.549719174,,,,,,,,,
121,1,4,122,146,It,87,388.6206897,178.0964751,358.5094806,1.481202666,,,,,,,,,
122,1,4,123,259,shows,87,338.908046,106.2637824,323.7860277,1.351592243,,,,,,,,,
123,1,4,124,203,a,86,380.2906977,207.8184086,340.6229644,1.564264179,3.9351038932800293,0.7142210695560842,10.918027877807617,0.3110048617021334,1,5,22.758617496466524,17.853428726589513,2
124,1,4,125,202,sinister,86,426.8837209,208.5205262,387.7666154,1.533590736,13.775031089782715,0.9983956150064874,3.9351038932800293,0.7142210695560842,8,1,14.414598675746491,22.758617496466524,3
125,1,4,126,214,looking,85,407.5176471,220.5852935,369.4560126,1.513714628,9.209087371826172,1.1373858531438918,13.775031089782715,0.9983956150064874,7,8,17.770049150175346,14.414598675746491,4
126,1,4,127,214,boar's,86,406.3837209,170.584681,375.3506657,1.487899315,,,,,,,,,
127,1,4,128,202,head,87,424.8390805,268.6764231,374.9494014,1.599159073,2.656585216522217,1.6603015489645232,,,4,,18.558645228389196,,6
128,1,4,129,192,sitting,86,356.8488372,143.0960613,334.0224199,1.425162693,8.478811264038086,1.6496955027496627,,,7,,16.866250720747992,,7
129,1,4,130,213,on,86,340.744186,140.0769693,319.7535307,1.407995185,1.4846874475479126,1.690097713056265,,,2,,21.554976690069,,8
130,1,4,131,214,top,87,349.9195402,141.8277057,326.6736193,1.43880298,3.71618390083313,1.690693945244904,,,3,,17.801583296707438,,9
131,1,4,132,214,of,87,350.045977,150.3769611,328.1428616,1.40562253,0.0199000034481287,1.9854730383301147,,,2,,23.463006516878895,,10
132,1,4,133,202,a,86,343.1395349,157.5539618,317.1902797,1.46127496,1.206506371498108,2.0854170265848784,,,1,,22.758617496466524,,11
133,1,4,134,203,well,86,375.6627907,171.0511867,344.3213959,1.504953235,9.36565113067627,1.7823582986186142,,,4,,19.637689788060488,,12
134,1,4,135,202,which,85,423.2352941,208.1254571,383.1274368,1.551927194,7.802462100982666,2.1656027327855205,,,5,,21.174411098467544,,13
135,1,4,136,203,seems,85,425.9647059,226.4614677,382.0481787,1.570909581,5.807113170623779,1.9950609746881875,,,5,,18.188247426064358,,14
136,1,4,137,225,puzzling,87,375.2068966,155.4765471,348.4531877,1.46230338,17.188745498657227,1.8244924581550377,,,8,,14.063568355842817,,15
137,1,4,138,214,at,85,353.5176471,132.9962953,333.6935295,1.397124313,4.463778972625732,1.7505640020652615,,,2,,21.257838098985733,,16
138,1,4,139,213,"first,",86,343.744186,146.7706643,319.607119,1.448717071,,,,,,,,,
139,1,4,140,192,but,86,331.1046512,106.0839877,316.066997,1.353771773,0.6024646759033203,2.3649426493562626,,,3,,21.056999641052982,,18
140,1,4,141,191,the,87,358.8505747,190.5519235,324.31729,1.531381742,4.2871785163879395,2.537958238500962,,,3,,24.00224221782431,,19
141,1,4,142,202,reason,87,340.8735632,142.6862556,317.581175,1.442710943,8.565960884094238,2.219281186993752,,,6,,18.286142627608672,,20
142,1,4,143,214,for,87,341.3103448,186.0405251,313.9952888,1.453710938,2.9649431705474854,2.3362457407699306,,,3,,21.908859243368568,,21
143,1,4,144,214,this,86,340.5581395,160.8584035,314.3259008,1.464337748,1.8857280015945435,2.5023700739279073,,,4,,21.371951095543007,,22
144,1,4,145,214,symbol,87,348.8850575,180.118012,319.0267543,1.499727613,13.545892715454102,2.1773467445794057,,,6,,16.34180384283304,,23
145,1,4,146,202,is,86,328.1511628,124.012003,309.3789178,1.397232483,0.8390361070632935,2.347778211135673,,,2,,22.156463274948866,,24
146,1,4,147,192,a,87,355.4482759,256.0950386,314.647787,1.544274456,6.058135032653809,2.454478770705899,,,1,,22.758617496466524,,25
147,1,4,148,202,matter,87,327.2643678,102.3766938,311.7901513,1.370661666,5.9616780281066895,2.0007247105524653,,,6,,18.41077828605327,,26
148,1,4,149,180,of,85,372.4117647,312.8301796,322.137227,1.582398939,0.12080435454845428,2.2718006603403964,,,2,,23.463006516878895,,27
149,1,4,150,191,legend.,87,392.7241379,193.2225304,351.6745581,1.598215976,,,,,,,,,
150,1,5,151,203,There,87,364.2873563,165.7827037,336.9125093,1.465468857,,,,,,,,,
151,1,5,152,191,was,87,331.6551724,150.5082728,308.1249081,1.437610307,,,,,,,,,
152,1,5,153,191,"once,",87,342.8965517,173.0676729,314.99246,1.472630615,,,,,,,,,
153,1,5,154,180,legend,87,455.2873563,344.6443704,378.9129966,1.75310923,17.244342803955078,0.9495424172361105,,,6,,15.689986388236392,,3
154,1,5,155,192,has,87,376.0229885,221.9689365,334.7198635,1.57082729,1.3072751760482788,1.1190290306841737,17.244342803955078,0.9495424172361105,3,6,20.520010745029015,15.689986388236392,4
155,1,5,156,180,"it,",87,358.2068966,173.2265715,327.1186981,1.504739403,,,,,,,,,
156,1,5,157,191,a,87,369.045977,188.0721601,333.9027461,1.535410046,1.8382130861282349,1.6310658251754926,,,1,,22.758617496466524,,6
157,1,5,158,191,fearsome,86,369.9767442,189.7652405,339.2264341,1.481188003,12.992542266845703,1.6771222680033382,1.8382130861282349,1.6310658251754926,8,1,12.867551124575709,22.758617496466524,7
158,1,5,159,214,"boar,",86,375.0232558,242.2750006,337.964873,1.512421985,,,,,,,,,
159,1,5,160,191,which,86,363.3837209,164.8759369,337.1362595,1.44876636,3.670433521270752,2.0908719012861305,,,5,,21.174411098467544,,9
160,1,5,161,203,lived,85,324.9058824,107.7285636,309.674047,1.357020097,7.046976566314697,1.838736580204848,,,5,,17.433480465657112,,10
161,1,5,162,191,in,86,302.5697674,100.1216367,288.8820784,1.347278945,1.5161558389663696,1.9278459478004477,,,2,,22.856896773775095,,11
162,1,5,163,202,a,86,363.1976744,319.368451,312.5674875,1.601099028,2.2924692630767822,2.0572174523570625,,,1,,22.758617496466524,,12
163,1,5,164,192,wood,86,357.7674419,204.7166003,318.3517911,1.587059094,7.702208042144775,1.7758388143130006,,,4,,17.289505758666156,,13
164,1,5,165,202,located,87,424.8735632,368.9396751,361.2217297,1.643342418,14.754904747009277,1.9828116237620503,,,7,,16.928890924736994,,14
165,1,5,166,180,just,85,342.7411765,114.2778728,324.5067223,1.397807853,4.58095121383667,1.9612506917117993,,,4,,19.24082077488325,,15
166,1,5,167,191,outside,86,323.744186,103.5131348,308.3822659,1.367622767,2.0133047103881836,2.084787401127846,,,7,,17.893682580143622,,16
167,1,5,168,192,the,86,350.3604651,236.7014954,311.801531,1.550554442,1.5076522827148438,2.1417366212162836,,,3,,24.00224221782431,,17
168,1,5,169,191,manor,87,353.3333333,247.4082243,319.0711245,1.488554678,,,,,,,,,
169,1,5,170,180,of,86,407.0232558,334.5105987,345.949696,1.660370079,4.153072357177734,2.179371160571386,,,2,,23.463006516878895,,19
170,1,5,171,158,Bradford.,86,391.6162791,202.013696,354.6811563,1.534807151,,,,,,,,,
171,1,6,172,236,A,86,365.5348837,187.0256791,333.3295441,1.510299569,,,,,,,,,
172,1,6,173,236,source,87,345.7931034,153.2307986,321.6079823,1.442394891,,,,,,,,,
173,1,6,174,191,of,87,333.8045977,139.8460814,311.0466817,1.439405811,6.602197647094727,0.5811064369436004,11.837419509887695,0.2601485312023218,2,6,23.463006516878895,17.930542356100954,2
174,1,6,175,192,great,87,358.3103448,158.2559239,330.2959239,1.483252179,7.150396823883057,0.8513963156546654,6.602197647094727,0.5811064369436004,5,2,19.44519695475499,23.463006516878895,3
175,1,6,176,180,trouble,86,338.4651163,131.5688769,318.4955343,1.404052159,9.493288040161133,1.018615971062353,7.150396823883057,0.8513963156546654,7,5,17.034186522861802,19.44519695475499,4
