,id,type,level,verb,sentence,target,surprisal,entropy_43,entropy_all,attn_to_target,attn_to_lv1_noun,attn_to_lv2_noun,attn_to_lv3_noun
58,10,CE,3,confused,The detective that the scientist that the lawyer confused questioned told the truth.,lawyer,16.5006,1.9151,2.1594,0.53616,0.00662,0.09393,0.53616
59,10,RB,3,confused,"After the sun went down, the lawyer confused the scientist who questioned the detective who told the truth. ",lawyer,15.1598,1.2726,1.73,0.68735,0.0,0.0,0.68735
60,11,CE,1,caught,The wagon that the auto that the truck carried pulled caught fire. ,wagon,10.5222,0.6686,1.9517,0.88603,0.88603,0.01864,0.00297
61,11,RB,1,caught,The truck carried the auto that pulled the wagon that caught fire.,wagon,8.8527,2.1224,1.8677,0.3992,0.3992,0.27256,0.19274
62,11,CE,2,pulled,The wagon that the auto that the truck carried pulled caught fire. ,auto,8.0257,2.0673,2.0874,0.20114,0.23528,0.20114,0.44225
63,11,RB,2,pulled,"Yesterday evening, the truck carried the auto that pulled the wagon that caught fire.",auto,7.2102,1.3349,1.8095,0.54609,0.0,0.54609,0.39552
64,11,CE,3,carried,The wagon that the auto that the truck carried pulled caught fire. ,truck,8.3045,1.573,2.1149,0.64472,0.00902,0.13967,0.64472
65,11,RB,3,carried,"After the sun went down, the truck carried the auto that pulled the wagon that caught fire.",truck,9.7165,0.3289,1.6814,0.94914,0.0,0.0,0.94914
66,12,CE,1,lived,The bugs that the man that the rats feared avoided lived on the hill. ,bugs,13.1389,0.9921,1.937,0.80135,0.80135,0.01793,0.00583
67,12,RB,1,lived,The rats feared the man who avoided the bugs that lived on the hill.,bugs,7.7117,1.0937,1.91,0.81654,0.81654,0.05005,0.02245
68,12,CE,2,avoided,The bugs that the man that the rats feared avoided lived on the hill. ,man,13.1577,2.5553,2.1225,0.12931,0.267,0.12931,0.15648
69,12,RB,2,avoided,"Yesterday evening, the rats feared the man who avoided the bugs that lived on the hill.",man,17.6068,1.7639,1.7924,0.53632,0.0,0.53632,0.06142
70,12,CE,3,feared,The bugs that the man that the rats feared avoided lived on the hill. ,rats,12.255,2.2474,2.1297,0.337,0.02815,0.11287,0.337
71,12,RB,3,feared,"After the sun went down, the rats feared the man who avoided the bugs that lived on the hill.",rats,14.8418,1.0583,1.6788,0.77099,0.0,0.0,0.77099
72,13,CE,1,approached,The dog that the cat that the bird fought feared approached the colt. ,dog,14.118,1.3807,2.0211,0.69858,0.69858,0.04136,0.0193
73,13,RB,1,approached,The bird fought the cat that feared the dog that approached the colt. ,dog,11.0041,1.055,2.0406,0.82413,0.82413,0.08029,0.0206
74,13,CE,2,feared,The dog that the cat that the bird fought feared approached the colt. ,cat,14.4195,2.1929,1.9414,0.11088,0.49173,0.11088,0.1031
75,13,RB,2,feared,"Yesterday evening, the bird fought the cat that feared the dog that approached the colt. ",cat,14.2459,1.8029,1.8096,0.55507,0.0,0.55507,0.23268
76,13,CE,3,fought,The dog that the cat that the bird fought feared approached the colt. ,bird,11.5222,2.0089,2.1347,0.35785,0.00846,0.1036,0.35785
77,13,RB,3,fought,"After the sun went down, the bird fought the cat that feared the dog that approached the colt. ",bird,12.9163,0.5508,1.7614,0.91021,0.0,0.0,0.91021
78,14,CE,1,teased,The clerk that the worker that the visitor liked thanked teased the boss. ,clerk,19.5915,1.3841,1.9319,0.71201,0.71201,0.07238,0.01078
79,14,RB,1,teased,The visitor liked the worker who thanked the clerk who teased the boss. ,clerk,13.4931,2.4831,1.9543,0.31837,0.31837,0.1055,0.02818
80,14,CE,2,thanked,The clerk that the worker that the visitor liked thanked teased the boss. ,worker,14.6382,2.5558,2.1604,0.23652,0.31021,0.23652,0.14981
81,14,RB,2,thanked,"Yesterday evening, the visitor liked the worker who thanked the clerk who teased the boss. ",worker,11.772,2.1239,1.9572,0.46668,0.0,0.46668,0.19523
82,14,CE,3,liked,The clerk that the worker that the visitor liked thanked teased the boss. ,visitor,13.0213,1.977,2.0326,0.4751,0.01715,0.15895,0.4751
83,14,RB,3,liked,"After the sun went down, the visitor liked the worker who thanked the clerk who teased the boss. ",visitor,14.932,1.0307,1.687,0.75017,0.0,0.0,0.75017
84,15,CE,1,noticed,The children that the boy that the policeman saw discovered noticed something. ,children,16.8922,1.4201,2.0116,0.72606,0.72606,0.08423,0.04558
85,15,RB,1,noticed,The policeman saw the boy who discovered the children who noticed something. ,children,14.3505,2.1649,1.8834,0.48955,0.48955,0.12317,0.04054
86,15,CE,2,discovered,The children that the boy that the policeman saw discovered noticed something. ,boy,15.3303,2.0993,2.0439,0.17263,0.49689,0.17263,0.10244
87,15,RB,2,discovered,"Yesterday evening, the policeman saw the boy who discovered the children who noticed something. ",boy,13.6492,1.596,1.716,0.61719,0.0,0.61719,0.08276
88,15,CE,3,saw,The children that the boy that the policeman saw discovered noticed something. ,policeman,5.9637,2.0056,2.0353,0.51041,0.01981,0.18004,0.51041
89,15,RB,3,saw,"After the sun went down, the policeman saw the boy who discovered the children who noticed something. ",policeman,7.2536,0.7288,1.6586,0.84067,0.0,0.0,0.84067
