,id,sent_type,sentence,surprisal,entropy_all,type
58,6,ORC,"Yesterday afternoon,the employees that the fireman noticed hurried across the open field.",7.1456,1.5313,rcn
59,6,SRC,"Yesterday, the employees that noticed the fireman hurried across the open field.",1.1816,1.4641,rcn
60,7,ORC,"Yesterday afternoon,the farmer that the customers approached lifted the chickens from their coop.",6.7182,1.5492,rcn
61,7,SRC,"Yesterday, the farmer that approached the customers lifted the chickens from their coop.",2.8346,1.4604,rcn
62,8,ORC,"Yesterday afternoon,the farmer who the rancher hired piled the seeds in long rows.",10.5534,1.4471,rcn
63,8,SRC,"Yesterday, the farmer who hired the rancher piled the seeds in long rows.",2.0328,1.4672,rcn
64,9,ORC,"Yesterday afternoon,the firemen that the residents called attacked the house with high-powered hoses.",8.0658,1.6673,rcn
65,9,SRC,"Yesterday, the firemen that called the residents attacked the house with high-powered hoses.",2.6464,1.6441,rcn
66,10,ORC,"Yesterday afternoon,the girl who the parents watched changed a critical part of the story.",9.7485,1.4297,rcn
67,10,SRC,"Yesterday, the girl who watched the parents changed a critical part of the story.",1.4633,1.4256,rcn
68,11,ORC,"Yesterday afternoon,the investigator who the agency phoned considered Ms. Reynolds from accounting.",10.6151,1.4427,rcn
69,11,SRC,"Yesterday, the investigator who phoned the agency considered Ms. Reynolds from accounting.",1.7425,1.7218,rcn
70,12,ORC,"Yesterday afternoon,the judge who the witnesses addressed noticed the defense attorneys.",11.1579,1.4465,rcn
71,12,SRC,"Yesterday, the judge who addressed the witnesses noticed the defense attorneys.",0.4896,1.4376,rcn
72,13,ORC,"Yesterday afternoon,the manager who the boss visited remembered some inconvenient facts.",10.3231,1.4346,rcn
73,13,SRC,"Yesterday, the manager who visited the boss  remembered some inconvenient facts.",1.9432,1.4261,rcn
74,14,ORC,"Yesterday afternoon,the mathematician who the chairman visited created a solution to the well-known problem.",11.2758,1.4776,rcn
75,14,SRC,"Yesterday, the mathematician who visited the chairman created a solution to the well-known problem.",1.9425,1.4768,rcn
76,15,ORC,"Yesterday afternoon,the monkeys that the zookeepers watched charged the bars of their cage.",6.2234,1.5325,rcn
77,15,SRC,"Yesterday, the monkeys that watched the zookeepers charged the bars of their cage.",1.8687,1.4856,rcn
78,16,ORC,"Yesterday afternoon,the movie star who the organizers visited proposed an annual prize.",11.2119,1.605,rcn
79,16,SRC,"Yesterday, the movie star who visited the organizers proposed an annual prize.",2.1017,1.5315,rcn
80,17,ORC,"Yesterday afternoon,the neighbor who the couple observed purchased the old Victorian house.",10.5912,1.4339,rcn
81,17,SRC,"Yesterday, the neighbor who observed the couple purchased the old Victorian house.",0.661,1.4608,rcn
82,18,ORC,"Yesterday afternoon,the pilot who the ground crew delayed remained on the runway for a long time.",10.8456,1.4611,rcn
83,18,SRC,"Yesterday, the pilot who delayed the ground crew remained on the runway for a long time.",1.4215,1.4358,rcn
84,19,ORC,"Yesterday afternoon,the soldiers that the natives helped climbed the big rock that blocked the path.",7.0316,1.5033,rcn
85,19,SRC,"Yesterday, the soldiers that helped the natives climbed the big rock that blocked the path.",3.8019,1.4584,rcn
86,20,ORC,"Yesterday afternoon,the speaker who the economists entertained predicted a good year for the industry.",9.6663,1.4653,rcn
87,20,SRC,"Yesterday, the speaker who entertained the economists predicted a good year for the industry.",1.1588,1.4224,rcn
88,21,ORC,"Yesterday afternoon,the table top that the box rested on screwed directly to the legs.",4.1974,1.7376,rcn
89,21,SRC,"Yesterday, the table top that rested on the box screwed directly to the legs.",0.9095,1.9297,rcn
90,22,ORC,"Yesterday afternoon,the trainer who the jockey called rubbed the horse’s skin.",10.2363,1.4609,rcn
91,22,SRC,"Yesterday, the trainer who called the jockey rubbed the horse’s skin.",2.6116,1.4837,rcn
92,23,ORC,"Yesterday afternoon,the veteran who the coach admired defeated his greatest rival.",11.064,1.4461,rcn
93,23,SRC,"Yesterday, the veteran who admired the coach defeated his greatest rival.",2.6099,1.3257,rcn
94,24,ORC,"Yesterday afternoon,the visitor who the student introduced walked across the quad.",10.9151,1.4652,rcn
95,24,SRC,"Yesterday, the visitor who introduced the student walked across the quad.",2.5489,1.4875,rcn
