,id,sent_type,sentence,surprisal,entropy_syntactic,entropy_global,type
16,5,SRC,"Yesterday at noon, the dancer that loved the audience ignored some basic principles.",10.718,1.57,1.2375,rcv
17,5,SRC,"Yesterday, the dancer that loved the audience ignored some basic principles.",3.9094,1.4096,1.2381,rcn
18,5,ORC,"Yesterday, the dancer that the audience loved ignored some basic principles.",4.7651,1.8752,1.4717,rcv
19,5,ORC,"Yesterday afternoon,the dancer that the audience loved ignored some basic principles.",7.278,1.5326,1.3118,rcn
20,6,SRC,"Yesterday at noon, the employees that noticed the fireman hurried across the open field.",12.9089,1.6508,1.292,rcv
21,6,SRC,"Yesterday, the employees that noticed the fireman hurried across the open field.",1.1816,1.4641,1.2188,rcn
22,6,ORC,"Yesterday, the employees that the fireman noticed hurried across the open field.",10.4711,2.0948,1.593,rcv
23,6,ORC,"Yesterday afternoon,the employees that the fireman noticed hurried across the open field.",7.1456,1.5313,1.2744,rcn
24,7,SRC,"Yesterday at noon, the farmer that approached the customers lifted the chickens from their coop.",10.7187,1.7777,1.3969,rcv
25,7,SRC,"Yesterday, the farmer that approached the customers lifted the chickens from their coop.",2.8346,1.4604,1.2786,rcn
26,7,ORC,"Yesterday, the farmer that the customers approached lifted the chickens from their coop.",9.9477,1.948,1.4869,rcv
27,7,ORC,"Yesterday afternoon,the farmer that the customers approached lifted the chickens from their coop.",6.7182,1.5492,1.3061,rcn
28,8,SRC,"Yesterday at noon, the farmer who hired the rancher piled the seeds in long rows.",9.8708,1.6474,1.3021,rcv
29,8,SRC,"Yesterday, the farmer who hired the rancher piled the seeds in long rows.",2.0327,1.4672,1.2506,rcn
30,8,ORC,"Yesterday, the farmer who the rancher hired piled the seeds in long rows.",7.636,2.0985,1.5827,rcv
31,8,ORC,"Yesterday afternoon,the farmer who the rancher hired piled the seeds in long rows.",10.5534,1.4471,1.2465,rcn
32,9,SRC,"Yesterday at noon, the firemen that called the residents attacked the house with high-powered hoses.",9.6818,1.7413,1.3956,rcv
33,9,SRC,"Yesterday, the firemen that called the residents attacked the house with high-powered hoses.",2.6464,1.6441,1.3774,rcn
34,9,ORC,"Yesterday, the firemen that the residents called attacked the house with high-powered hoses.",6.2407,1.9037,1.527,rcv
35,9,ORC,"Yesterday afternoon,the firemen that the residents called attacked the house with high-powered hoses.",8.0658,1.6673,1.439,rcn
36,10,SRC,"Yesterday at noon, the girl who watched the parents changed a critical part of the story.",10.1415,1.6644,1.3498,rcv
37,10,SRC,"Yesterday, the girl who watched the parents changed a critical part of the story.",1.4633,1.4256,1.2414,rcn
38,10,ORC,"Yesterday, the girl who the parents watched changed a critical part of the story.",10.5759,1.874,1.4282,rcv
39,10,ORC,"Yesterday afternoon,the girl who the parents watched changed a critical part of the story.",9.7485,1.4297,1.2248,rcn
40,11,SRC,"Yesterday at noon, the investigator who called the agency considered Ms. Reynolds from accounting.",8.1623,1.6774,1.3249,rcv
41,11,SRC,"Yesterday, the investigator who phoned the agency considered Ms. Reynolds from accounting.",1.7425,1.7218,1.364,rcn
42,11,ORC,"Yesterday, the investigator who the agency called considered Ms. Reynolds from accounting.",6.1299,1.9007,1.4411,rcv
43,11,ORC,"Yesterday afternoon,the investigator who the agency phoned considered Ms. Reynolds from accounting.",10.6151,1.4427,1.2302,rcn
44,12,SRC,"Yesterday at noon, the judge who addressed the witnesses noticed the defense attorneys.",10.4911,1.6052,1.3465,rcv
45,12,SRC,"Yesterday, the judge who addressed the witnesses noticed the defense attorneys.",0.4896,1.4376,1.2464,rcn
46,12,ORC,"Yesterday, the judge who the witnesses addressed noticed the defense attorneys.",13.5141,1.8988,1.4676,rcv
47,12,ORC,"Yesterday afternoon,the judge who the witnesses addressed noticed the defense attorneys.",11.1578,1.4465,1.2017,rcn
48,13,SRC,"Yesterday at noon, the manager who visited the boss  remembered some inconvenient facts.",10.9653,1.7063,1.3773,rcv
49,13,SRC,"Yesterday, the manager who visited the boss  remembered some inconvenient facts.",1.9432,1.4261,1.2337,rcn
50,13,ORC,"Yesterday, the manager who the boss visited remembered some inconvenient facts.",9.8242,1.8477,1.4092,rcv
51,13,ORC,"Yesterday afternoon,the manager who the boss visited remembered some inconvenient facts.",10.3231,1.4346,1.2192,rcn
52,14,SRC,"Yesterday at noon, the mathematician who visited the chairman created a solution to the well-known problem.",12.9764,1.7862,1.3761,rcv
53,14,SRC,"Yesterday, the mathematician who visited the chairman created a solution to the well-known problem.",1.9425,1.4768,1.2744,rcn
54,14,ORC,"Yesterday, the mathematician who the chairman visited created a solution to the well-known problem.",15.6051,1.9276,1.4386,rcv
55,14,ORC,"Yesterday afternoon,the mathematician who the chairman visited created a solution to the well-known problem.",11.2758,1.4776,1.2364,rcn
56,15,SRC,"Yesterday at noon, the monkeys that watched the zookeepers charged the bars of their cage.",8.366,1.6915,1.4245,rcv
57,15,SRC,"Yesterday, the monkeys that watched the zookeepers charged the bars of their cage.",1.8687,1.4856,1.3383,rcn
58,15,ORC,"Yesterday, the monkeys that the zookeepers watched charged the bars of their cage.",7.1998,2.3864,1.7322,rcv
59,15,ORC,"Yesterday afternoon,the monkeys that the zookeepers watched charged the bars of their cage.",6.2234,1.5325,1.3268,rcn
60,16,SRC,"Yesterday at noon, the movie star who visited the organizers proposed an annual prize.",11.5742,1.7944,1.4237,rcv
61,16,SRC,"Yesterday, the movie star who visited the organizers proposed an annual prize.",2.1017,1.5315,1.3469,rcn
62,16,ORC,"Yesterday, the movie star who the organizers visited proposed an annual prize.",13.5652,2.0115,1.5275,rcv
63,16,ORC,"Yesterday afternoon,the movie star who the organizers visited proposed an annual prize.",11.2119,1.605,1.3497,rcn
64,17,SRC,"Yesterday at noon, the neighbor who observed the couple purchased the old Victorian house.",9.1515,1.6589,1.3166,rcv
65,17,SRC,"Yesterday, the neighbor who observed the couple purchased the old Victorian house.",0.661,1.4608,1.2395,rcn
66,17,ORC,"Yesterday, the neighbor who the couple observed purchased the old Victorian house.",12.3617,1.819,1.4336,rcv
67,17,ORC,"Yesterday afternoon,the neighbor who the couple observed purchased the old Victorian house.",10.5912,1.4339,1.2401,rcn
68,18,SRC,"Yesterday at noon, the pilot who delayed the ground crew remained on the runway for a long time.",13.6565,1.6985,1.3038,rcv
69,18,SRC,"Yesterday, the pilot who delayed the ground crew remained on the runway for a long time.",1.4215,1.4358,1.2638,rcn
70,18,ORC,"Yesterday, the pilot who the ground crew delayed remained on the runway for a long time.",14.6466,2.098,1.5588,rcv
71,18,ORC,"Yesterday afternoon,the pilot who the ground crew delayed remained on the runway for a long time.",10.8456,1.4611,1.2294,rcn
72,19,SRC,"Yesterday at noon, the soldiers that helped the natives climbed the big rock that blocked the path.",8.4727,1.5983,1.3091,rcv
73,19,SRC,"Yesterday, the soldiers that helped the natives climbed the big rock that blocked the path.",3.8019,1.4584,1.2647,rcn
74,19,ORC,"Yesterday, the soldiers that the natives helped climbed the big rock that blocked the path.",10.5729,1.9295,1.4985,rcv
75,19,ORC,"Yesterday afternoon,the soldiers that the natives helped climbed the big rock that blocked the path.",7.0316,1.5033,1.2735,rcn
76,20,SRC,"Yesterday at noon, the speaker who entertained the economists predicted a good year for the industry.",14.3581,1.731,1.3198,rcv
77,20,SRC,"Yesterday, the speaker who entertained the economists predicted a good year for the industry.",1.1588,1.4224,1.2662,rcn
78,20,ORC,"Yesterday, the speaker who the economists entertained predicted a good year for the industry.",17.4882,1.9983,1.4586,rcv
79,20,ORC,"Yesterday afternoon,the speaker who the economists entertained predicted a good year for the industry.",9.6663,1.4653,1.2297,rcn
80,21,SRC,"Yesterday at noon, the table top that rested on the box screwed directly to the legs.",11.5468,1.8006,1.3425,rcv
81,21,SRC,"Yesterday, the table top that rested on the box screwed directly to the legs.",0.9095,1.9297,1.5754,rcn
82,21,ORC,"Yesterday, the table top that the box rested on screwed directly to the legs.",11.2002,2.1456,1.5149,rcv
83,21,ORC,"Yesterday afternoon,the table top that the box rested on screwed directly to the legs.",4.1974,1.7376,1.4007,rcn
84,22,SRC,"Yesterday at noon, the trainer who called the jockey rubbed the horse’s skin.",7.6916,1.6714,1.3361,rcv
85,22,SRC,"Yesterday, the trainer who called the jockey rubbed the horse’s skin.",2.6116,1.4837,1.2523,rcn
86,22,ORC,"Yesterday, the trainer who the jockey called rubbed the horse’s skin.",4.9941,2.0766,1.5395,rcv
87,22,ORC,"Yesterday afternoon,the trainer who the jockey called rubbed the horse’s skin.",10.2363,1.4609,1.2553,rcn
88,23,SRC,"Yesterday at noon, the veteran who admired the coach defeated his greatest rival.",16.1399,1.6728,1.2117,rcv
89,23,SRC,"Yesterday, the veteran who admired the coach defeated his greatest rival.",2.6099,1.3257,1.1401,rcn
90,23,ORC,"Yesterday, the veteran who the coach admired defeated his greatest rival.",11.8618,1.9107,1.3843,rcv
91,23,ORC,"Yesterday afternoon,the veteran who the coach admired defeated his greatest rival.",11.064,1.4461,1.1828,rcn
92,24,SRC,"Yesterday at noon, the visitor who introduced the student walked across the quad.",10.3067,1.6479,1.2861,rcv
93,24,SRC,"Yesterday, the visitor who introduced the student walked across the quad.",2.5489,1.4875,1.2581,rcn
94,24,ORC,"Yesterday, the visitor who the student introduced walked across the quad.",10.9673,1.9387,1.4224,rcv
95,24,ORC,"Yesterday afternoon,the visitor who the student introduced walked across the quad.",10.9151,1.4652,1.2908,rcn
