,id,entropy,surprisal,sent_type,sentence,type
28,15,1.9204056,7.177683353,ORC,"Yestreday, the monkeys that the zookeepers watched charged the bars of their cage.",rcv
29,15,1.570664081,8.365983963,SRC,"Yesterday at noon, the monkeys that watched the zookeepers charged the bars of their cage.",rcv
30,16,1.732600998,13.0329113,ORC,"Yestreday, the movie star who the organizers visited proposed an annual prize.",rcv
31,16,1.550525445,11.57412052,SRC,"Yesterday at noon, the movie star who visited the organizers proposed an annual prize.",rcv
32,17,1.687640521,12.83631325,ORC,"Yestreday, the neighbor who the couple observed purchased the old Victorian house.",rcv
33,17,1.467517262,9.151626587,SRC,"Yesterday at noon, the neighbor who observed the couple purchased the old Victorian house.",rcv
34,18,1.803784816,14.62638569,ORC,"Yestreday, the pilot who the ground crew delayed remained on the runway for a long time.",rcv
35,18,1.480819541,13.65653419,SRC,"Yesterday at noon, the pilot who delayed the ground crew remained on the runway for a long time.",rcv
36,19,1.745666615,11.11289215,ORC,"Yestreday, the soldiers that the natives helped climbed the big rock that blocked the path.",rcv
37,19,1.43815941,8.472818375,SRC,"Yesterday at noon, the soldiers that helped the natives climbed the big rock that blocked the path.",rcv
38,20,1.712394838,16.40749931,ORC,"Yestreday, the speaker who the economists entertained predicted a good year for the industry.",rcv
39,20,1.466933683,14.35821533,SRC,"Yesterday at noon, the speaker who entertained the economists predicted a good year for the industry.",rcv
40,21,1.709681635,12.02641487,ORC,"Yestreday, the table top that the box rested on screwed directly to the legs.",rcv
41,21,1.466892258,11.54683781,SRC,"Yesterday at noon, the table top that rested on the box screwed directly to the legs.",rcv
42,22,1.793867072,5.452939034,ORC,"Yestreday, the trainer who the jockey called rubbed the horse’s skin.",rcv
43,22,1.452971837,7.691520691,SRC,"Yesterday at noon, the trainer who called the jockey rubbed the horse’s skin.",rcv
44,23,1.636375378,12.00131989,ORC,"Yestreday, the veteran who the coach admired defeated his greatest rival.",rcv
45,23,1.360562706,16.13988304,SRC,"Yesterday at noon, the veteran who admired the coach defeated his greatest rival.",rcv
46,24,1.685966401,11.30695724,ORC,"Yestreday, the visitor who the student introduced walked across the quad.",rcv
47,24,1.418147283,10.30668831,SRC,"Yesterday at noon, the visitor who introduced the student walked across the quad.",rcv
48,1,1.607276584,10.73069477,ORC,"Yesterday at noon,the bus driver who the kids followed wondered about the location of a hotel.",rcn
49,1,1.559704871,1.219841123,SRC,"Yesterday, the bus driver who followed the kids wondered about the location of a hotel.",rcn
50,2,1.487114015,11.25267696,ORC,"Yesterday at noon,the chef who the cameraman distracted poured the flour onto the counter.",rcn
51,2,1.41340806,2.291032553,SRC,"Yesterday, the chef who distracted the cameraman poured the flour onto the counter.",rcn
52,3,1.488674969,10.75524426,ORC,"Yesterday at noon,the children who the father woke bothered him about the trip to the beach.",rcn
53,3,1.415498373,6.621146202,SRC,"Yesterday, the children who woke the father bothered him about the trip to the beach.",rcn
54,4,1.538524332,6.194434643,ORC,"Yesterday at noon,the class that the teacher disliked skimmed the reading for the week.",rcn
55,4,1.418965544,2.981126547,SRC,"Yesterday, the class that disliked the teacher skimmed the reading for the week.",rcn
56,5,1.563269456,7.242391586,ORC,"Yesterday at noon,the dancer that the audience loved ignored some basic principles.",rcn
57,5,1.409492028,3.909382105,SRC,"Yesterday, the dancer that loved the audience ignored some basic principles.",rcn
58,6,1.525658534,7.629575253,ORC,"Yesterday at noon,the employees that the fireman noticed hurried across the open field.",rcn
59,6,1.437026248,1.181580544,SRC,"Yesterday, the employees that noticed the fireman hurried across the open field.",rcn
60,7,1.568224486,6.851825714,ORC,"Yesterday at noon,the farmer that the customers approached lifted the chickens from their coop.",rcn
61,7,1.45235097,2.834640741,SRC,"Yesterday, the farmer that approached the customers lifted the chickens from their coop.",rcn
62,8,1.513462231,10.74200153,ORC,"Yesterday at noon,the farmer who the rancher hired piled the seeds in long rows.",rcn
63,8,1.431119853,2.032791138,SRC,"Yesterday, the farmer who hired the rancher piled the seeds in long rows.",rcn
64,9,1.662447519,7.892552853,ORC,"Yesterday at noon,the firemen that the residents called attacked the house with high-powered hoses.",rcn
65,9,1.538665799,2.646497011,SRC,"Yesterday, the firemen that called the residents attacked the house with high-powered hoses.",rcn
66,10,1.488106883,9.865733147,ORC,"Yesterday at noon,the girl who the parents watched changed a critical part of the story.",rcn
67,10,1.438491264,1.463392973,SRC,"Yesterday, the girl who watched the parents changed a critical part of the story.",rcn
68,11,1.492505264,10.54317951,ORC,"Yesterday at noon,the investigator who the agency phoned considered Ms. Reynolds from accounting.",rcn
69,11,1.521743193,1.742468715,SRC,"Yesterday, the investigator who phoned the agency considered Ms. Reynolds from accounting.",rcn
70,12,1.457935024,11.28220654,ORC,"Yesterday at noon,the judge who the witnesses addressed noticed the defense attorneys.",rcn
71,12,1.420725219,0.489616096,SRC,"Yesterday, the judge who addressed the witnesses noticed the defense attorneys.",rcn
72,13,1.488376477,10.54110146,ORC,"Yesterday at noon,the manager who the boss visited remembered some inconvenient facts.",rcn
73,13,1.422026202,1.943209648,SRC,"Yesterday, the manager who visited the boss  remembered some inconvenient facts.",rcn
74,14,1.485888101,11.2911253,ORC,"Yesterday at noon,the mathematician who the chairman visited created a solution to the well-known problem.",rcn
75,14,1.464982052,1.942388296,SRC,"Yesterday, the mathematician who visited the chairman created a solution to the well-known problem.",rcn
76,15,1.582678421,6.619681358,ORC,"Yesterday at noon,the monkeys that the zookeepers watched charged the bars of their cage.",rcn
77,15,1.531559704,1.868785739,SRC,"Yesterday, the monkeys that watched the zookeepers charged the bars of their cage.",rcn
78,16,1.562005837,11.17787933,ORC,"Yesterday at noon,the movie star who the organizers visited proposed an annual prize.",rcn
79,16,1.510969003,2.101747036,SRC,"Yesterday, the movie star who visited the organizers proposed an annual prize.",rcn
80,17,1.489321192,10.59040737,ORC,"Yesterday at noon,the neighbor who the couple observed purchased the old Victorian house.",rcn
81,17,1.443220818,0.660995483,SRC,"Yesterday, the neighbor who observed the couple purchased the old Victorian house.",rcn
82,18,1.486539704,10.9915514,ORC,"Yesterday at noon,the pilot who the ground crew delayed remained on the runway for a long time.",rcn
83,18,1.460989673,1.421387792,SRC,"Yesterday, the pilot who delayed the ground crew remained on the runway for a long time.",rcn
84,19,1.516450053,7.055152416,ORC,"Yesterday at noon,the soldiers that the natives helped climbed the big rock that blocked the path.",rcn
85,19,1.468167799,3.80186367,SRC,"Yesterday, the soldiers that helped the natives climbed the big rock that blocked the path.",rcn
86,20,1.485704535,9.782865524,ORC,"Yesterday at noon,the speaker who the economists entertained predicted a good year for the industry.",rcn
87,20,1.444800564,1.158764243,SRC,"Yesterday, the speaker who entertained the economists predicted a good year for the industry.",rcn
88,21,1.635360002,4.490007401,ORC,"Yesterday at noon,the table top that the box rested on screwed directly to the legs.",rcn
89,21,1.72948919,0.90950197,SRC,"Yesterday, the table top that rested on the box screwed directly to the legs.",rcn
90,22,1.513304921,10.32821274,ORC,"Yesterday at noon,the trainer who the jockey called rubbed the horse’s skin.",rcn
91,22,1.430174699,2.611643314,SRC,"Yesterday, the trainer who called the jockey rubbed the horse’s skin.",rcn
92,23,1.439991607,11.29058266,ORC,"Yesterday at noon,the veteran who the coach admired defeated his greatest rival.",rcn
93,23,1.329508448,2.609879255,SRC,"Yesterday, the veteran who admired the coach defeated his greatest rival.",rcn
94,24,1.56263802,11.29219627,ORC,"Yesterday at noon,the visitor who the student introduced walked across the quad.",rcn
95,24,1.446029031,2.548915625,SRC,"Yesterday, the visitor who introduced the student walked across the quad.",rcn
